,address,value
36,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,2241200
37,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,1336100
38,addr1qy4ufvz6gc8ur026muf8r493xwet302f7rnyw7u0gc0mc9df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04lds8v23zw,2413848318
39,addr1qy4ufvz6gc8ur026muf8r493xwet302f7rnyw7u0gc0mc9df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04lds8v23zw,1207011992
40,addr1qy4ufvz6gc8ur026muf8r493xwet302f7rnyw7u0gc0mc9df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04lds8v23zw,1207011991
41,addr1qy4ufvz6gc8ur026muf8r493xwet302f7rnyw7u0gc0mc9df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04lds8v23zw,5000000
42,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,11009000
43,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,602689752
44,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,668945379
45,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,11001300
46,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,11001300
47,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,708607344
48,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,10997600
49,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,657772597
50,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,2000000
51,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,2241200
52,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,568038114
53,addr1q9esgl9jkfqkknqw7tj6274t64ca5utl0w9g4s7x23w82ndf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsp244f5,2000000
54,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,1236970
55,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,1236970
56,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,1236970
57,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,1236970
58,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,2000000
59,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,766433311
60,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,783333488
61,addr1qyfdyk5f2p8ecla04az78utzjpp725jwvu9nt8zgq8cskpdf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsz4hfet,2170862440
62,addr1qyfdyk5f2p8ecla04az78utzjpp725jwvu9nt8zgq8cskpdf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsz4hfet,1085519053
63,addr1qyfdyk5f2p8ecla04az78utzjpp725jwvu9nt8zgq8cskpdf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsz4hfet,1085519052
64,addr1qyfdyk5f2p8ecla04az78utzjpp725jwvu9nt8zgq8cskpdf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsz4hfet,5000000
65,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,1785219
66,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,796455899
67,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,866394769
68,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,1083019183
69,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,962485443
70,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,2210670525
71,addr1qxqwgkec2ygnahknxavxkgvet65ahj7044mjfzgxlppc5edf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsmwt8jt,1110671905
72,addr1qxqwgkec2ygnahknxavxkgvet65ahj7044mjfzgxlppc5edf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsmwt8jt,555423785
73,addr1qxqwgkec2ygnahknxavxkgvet65ahj7044mjfzgxlppc5edf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsmwt8jt,555423785
74,addr1qxqwgkec2ygnahknxavxkgvet65ahj7044mjfzgxlppc5edf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsmwt8jt,5000000
75,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,342020000
76,addr1qx9lnkgrujx223qekmpa5j8ysqk9srww2zazhdyyxm9rtyaf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsm4af60,2394944818
77,addr1qxh6vcaf6la7jpnyhwl6vgs7p769gxlwsk26e2c0sx4puvaf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04lds6cx52w,2000000
